Issue Key,Summary,Reporter,Assignee,Status,Created,Updated,Fixed By,Description,Issue Type
FE-20152,Dynamic Rate limiting alert: Traffic dropped for API: /listing-svc/v1/product/term-completion.,resilience,Pranav Maheshwary,Deployed to Prod,2025-04-06T04:50:24.724+0530,2025-04-08T12:49:16.156+0530,UptimeSquad,Dynamic Rate limiting: Reason: Impacted resource/api : /listing-svc/v1/product/term-completion Timestamp: 2025-04-06 04:50:23  Reason: state updated due to high error rate and current throughput < past throughput Resilience Dashboard link: https://app.groundcover.com/grafana/d/ee6hp1vaeark0e/resilience-metrics  /listing-svc/v1/product/term-completion Timestamp: 2025-04-06 04:55:23  Reason: state updated due to high error rate and current throughput < past throughput Resilience Dashboard link: https://app.groundcover.com/grafana/d/ee6hp1vaeark0e/resilience-metrics  /listing-svc/v1/product/term-completion Timestamp: 2025-04-06 05:00:25  Reason: state updated due to high error rate and current throughput < past throughput Resilience Dashboard link: https://app.groundcover.com/grafana/d/ee6hp1vaeark0e/resilience-metrics  /listing-svc/v1/product/term-completion Timestamp: 2025-04-06 05:05:24  Reason: state updated due to high error rate and current throughput < past throughput Resilience Dashboard link: https://app.groundcover.com/grafana/d/ee6hp1vaeark0e/resilience-metrics  /listing-svc/v1/product/term-completion Timestamp: 2025-04-06 05:10:24  Reason: state updated due to high error rate and current throughput < past throughput Resilience Dashboard link: https://app.groundcover.com/grafana/d/ee6hp1vaeark0e/resilience-metrics  /listing-svc/v1/product/term-completion Timestamp: 2025-04-06 05:15:24  Reason: state updated due to high error rate and current throughput < past throughput Resilience Dashboard link: https://app.groundcover.com/grafana/d/ee6hp1vaeark0e/resilience-metrics  /listing-svc/v1/product/term-completion Timestamp: 2025-04-06 05:20:26  Reason: state updated due to high error rate and current throughput < past throughput Resilience Dashboard link: https://app.groundcover.com/grafana/d/ee6hp1vaeark0e/resilience-metrics  /listing-svc/v1/product/term-completion Timestamp: 2025-04-06 05:25:23  Reason: state updated due to high error rate and current throughput < past throughput Resilience Dashboard link: https://app.groundcover.com/grafana/d/ee6hp1vaeark0e/resilience-metrics  /listing-svc/v1/product/term-completion Timestamp: 2025-04-06 05:35:24  Reason: state updated due to high error rate and current throughput < past throughput Resilience Dashboard link: https://app.groundcover.com/grafana/d/ee6hp1vaeark0e/resilience-metrics  /listing-svc/v1/product/term-completion Timestamp: 2025-04-06 05:40:26  Reason: state updated due to high error rate and current throughput < past throughput Resilience Dashboard link: https://app.groundcover.com/grafana/d/ee6hp1vaeark0e/resilience-metrics  /listing-svc/v1/product/term-completion Timestamp: 2025-04-06 05:50:24  Reason: state updated due to high error rate and current throughput < past throughput Resilience Dashboard link: https://app.groundcover.com/grafana/d/ee6hp1vaeark0e/resilience-metrics  /listing-svc/v1/product/term-completion Timestamp: 2025-04-06 05:55:24  Reason: state updated due to high error rate and current throughput < past throughput Resilience Dashboard link: https://app.groundcover.com/grafana/d/ee6hp1vaeark0e/resilience-metrics  /listing-svc/v1/product/term-completion Timestamp: 2025-04-06 06:00:25  Reason: state updated due to high error rate and current throughput < past throughput Resilience Dashboard link: https://app.groundcover.com/grafana/d/ee6hp1vaeark0e/resilience-metrics  /listing-svc/v1/product/term-completion Timestamp: 2025-04-06 06:10:27  Reason: state updated due to high error rate and current throughput < past throughput Resilience Dashboard link: https://app.groundcover.com/grafana/d/ee6hp1vaeark0e/resilience-metrics  /listing-svc/v1/product/term-completion Timestamp: 2025-04-06 06:15:24  Reason: state updated due to high error rate and current throughput < past throughput Resilience Dashboard link: https://app.groundcover.com/grafana/d/ee6hp1vaeark0e/resilience-metrics  /listing-svc/v1/product/term-completion Timestamp: 2025-04-06 06:20:26  Reason: state updated due to high error rate and current throughput < past throughput Resilience Dashboard link: https://app.groundcover.com/grafana/d/ee6hp1vaeark0e/resilience-metrics  /listing-svc/v1/product/term-completion Timestamp: 2025-04-06 06:25:24  Reason: state updated due to high error rate and current throughput < past throughput Resilience Dashboard link: https://app.groundcover.com/grafana/d/ee6hp1vaeark0e/resilience-metrics  /listing-svc/v1/product/term-completion Timestamp: 2025-04-07 00:55:22  Reason: state updated due to high error rate and current throughput < past throughput Resilience Dashboard link: https://app.groundcover.com/grafana/d/ee6hp1vaeark0e/resilience-metrics  /listing-svc/v1/product/term-completion Timestamp: 2025-04-07 01:00:26  Reason: state updated due to high error rate and current throughput < past throughput Resilience Dashboard link: https://app.groundcover.com/grafana/d/ee6hp1vaeark0e/resilience-metrics  /listing-svc/v1/product/term-completion Timestamp: 2025-04-07 01:10:27  Reason: state updated due to high error rate and current throughput < past throughput Resilience Dashboard link: https://app.groundcover.com/grafana/d/ee6hp1vaeark0e/resilience-metrics  /listing-svc/v1/product/term-completion Timestamp: 2025-04-07 01:20:26  Reason: state updated due to high error rate and current throughput < past throughput Resilience Dashboard link: https://app.groundcover.com/grafana/d/ee6hp1vaeark0e/resilience-metrics  /listing-svc/v1/product/term-completion Timestamp: 2025-04-07 01:25:23  Reason: state updated due to high error rate and current throughput < past throughput Resilience Dashboard link: https://app.groundcover.com/grafana/d/ee6hp1vaeark0e/resilience-metrics  /listing-svc/v1/product/term-completion Timestamp: 2025-04-07 01:30:25  Reason: state updated due to high error rate and current throughput < past throughput Resilience Dashboard link: https://app.groundcover.com/grafana/d/ee6hp1vaeark0e/resilience-metrics  /listing-svc/v1/product/term-completion Timestamp: 2025-04-07 01:35:24  Reason: state updated due to high error rate and current throughput < past throughput Resilience Dashboard link: https://app.groundcover.com/grafana/d/ee6hp1vaeark0e/resilience-metrics  /listing-svc/v1/product/term-completion Timestamp: 2025-04-07 01:45:24  Reason: state updated due to high error rate and current throughput < past throughput Resilience Dashboard link: https://app.groundcover.com/grafana/d/ee6hp1vaeark0e/resilience-metrics  /listing-svc/v1/product/term-completion Timestamp: 2025-04-07 01:50:25  Reason: state updated due to high error rate and current throughput < past throughput Resilience Dashboard link: https://app.groundcover.com/grafana/d/ee6hp1vaeark0e/resilience-metrics  /listing-svc/v1/product/term-completion Timestamp: 2025-04-07 01:55:24  Reason: state updated due to high error rate and current throughput < past throughput Resilience Dashboard link: https://app.groundcover.com/grafana/d/ee6hp1vaeark0e/resilience-metrics  /listing-svc/v1/product/term-completion Timestamp: 2025-04-07 02:00:26  Reason: state updated due to high error rate and current throughput < past throughput Resilience Dashboard link: https://app.groundcover.com/grafana/d/ee6hp1vaeark0e/resilience-metrics  /listing-svc/v1/product/term-completion Timestamp: 2025-04-07 02:10:24  Reason: state updated due to high error rate and current throughput < past throughput Resilience Dashboard link: https://app.groundcover.com/grafana/d/ee6hp1vaeark0e/resilience-metrics  /listing-svc/v1/product/term-completion Timestamp: 2025-04-07 02:15:24  Reason: state updated due to high error rate and current throughput < past throughput Resilience Dashboard link: https://app.groundcover.com/grafana/d/ee6hp1vaeark0e/resilience-metrics  /listing-svc/v1/product/term-completion Timestamp: 2025-04-07 02:20:24  Reason: state updated due to high error rate and current throughput < past throughput Resilience Dashboard link: https://app.groundcover.com/grafana/d/ee6hp1vaeark0e/resilience-metrics  /listing-svc/v1/product/term-completion Timestamp: 2025-04-07 02:25:25  Reason: state updated due to high error rate and current throughput < past throughput Resilience Dashboard link: https://app.groundcover.com/grafana/d/ee6hp1vaeark0e/resilience-metrics  /listing-svc/v1/product/term-completion Timestamp: 2025-04-07 02:30:27  Reason: state updated due to high error rate and current throughput < past throughput Resilience Dashboard link: https://app.groundcover.com/grafana/d/ee6hp1vaeark0e/resilience-metrics  /listing-svc/v1/product/term-completion Timestamp: 2025-04-07 02:40:27  Reason: state updated due to high error rate and current throughput < past throughput Resilience Dashboard link: https://app.groundcover.com/grafana/d/ee6hp1vaeark0e/resilience-metrics  /listing-svc/v1/product/term-completion Timestamp: 2025-04-07 02:45:24  Reason: state updated due to high error rate and current throughput < past throughput Resilience Dashboard link: https://app.groundcover.com/grafana/d/ee6hp1vaeark0e/resilience-metrics  /listing-svc/v1/product/term-completion Timestamp: 2025-04-07 02:50:24  Reason: state updated due to high error rate and current throughput < past throughput Resilience Dashboard link: https://app.groundcover.com/grafana/d/ee6hp1vaeark0e/resilience-metrics  /listing-svc/v1/product/term-completion Timestamp: 2025-04-07 02:55:24  Reason: state updated due to high error rate and current throughput < past throughput Resilience Dashboard link: https://app.groundcover.com/grafana/d/ee6hp1vaeark0e/resilience-metrics  /listing-svc/v1/product/term-completion Timestamp: 2025-04-07 03:00:26  Reason: state updated due to high error rate and current throughput < past throughput Resilience Dashboard link: https://app.groundcover.com/grafana/d/ee6hp1vaeark0e/resilience-metrics  /listing-svc/v1/product/term-completion Timestamp: 2025-04-07 03:10:26  Reason: state updated due to high error rate and current throughput < past throughput Resilience Dashboard link: https://app.groundcover.com/grafana/d/ee6hp1vaeark0e/resilience-metrics  /listing-svc/v1/product/term-completion Timestamp: 2025-04-07 03:15:24  Reason: state updated due to high error rate and current throughput < past throughput Resilience Dashboard link: https://app.groundcover.com/grafana/d/ee6hp1vaeark0e/resilience-metrics  /listing-svc/v1/product/term-completion Timestamp: 2025-04-07 03:25:22  Reason: state updated due to high error rate and current throughput < past throughput Resilience Dashboard link: https://app.groundcover.com/grafana/d/ee6hp1vaeark0e/resilience-metrics  /listing-svc/v1/product/term-completion Timestamp: 2025-04-07 03:35:23  Reason: state updated due to high error rate and current throughput < past throughput Resilience Dashboard link: https://app.groundcover.com/grafana/d/ee6hp1vaeark0e/resilience-metrics  /listing-svc/v1/product/term-completion Timestamp: 2025-04-07 03:40:23  Reason: state updated due to high error rate and current throughput < past throughput Resilience Dashboard link: https://app.groundcover.com/grafana/d/ee6hp1vaeark0e/resilience-metrics  /listing-svc/v1/product/term-completion Timestamp: 2025-04-07 03:50:27  Reason: state updated due to high error rate and current throughput < past throughput Resilience Dashboard link: https://app.groundcover.com/grafana/d/ee6hp1vaeark0e/resilience-metrics  /listing-svc/v1/product/term-completion Timestamp: 2025-04-08 01:00:26  Reason: state updated due to high error rate Resilience Dashboard link: https://app.groundcover.com/grafana/d/ee6hp1vaeark0e/resilience-metrics  /listing-svc/v1/product/term-completion Timestamp: 2025-04-08 01:05:25  Reason: state updated due to high error rate Resilience Dashboard link: https://app.groundcover.com/grafana/d/ee6hp1vaeark0e/resilience-metrics  /listing-svc/v1/product/term-completion Timestamp: 2025-04-08 01:10:26  Reason: state updated due to high error rate Resilience Dashboard link: https://app.groundcover.com/grafana/d/ee6hp1vaeark0e/resilience-metrics  /listing-svc/v1/product/term-completion Timestamp: 2025-04-08 01:15:24  Reason: state updated due to high error rate Resilience Dashboard link: https://app.groundcover.com/grafana/d/ee6hp1vaeark0e/resilience-metrics  /listing-svc/v1/product/term-completion Timestamp: 2025-04-08 01:20:26  Reason: state updated due to high error rate Resilience Dashboard link: https://app.groundcover.com/grafana/d/ee6hp1vaeark0e/resilience-metrics  /listing-svc/v1/product/term-completion Timestamp: 2025-04-08 01:30:25  Reason: state updated due to high error rate Resilience Dashboard link: https://app.groundcover.com/grafana/d/ee6hp1vaeark0e/resilience-metrics  /listing-svc/v1/product/term-completion Timestamp: 2025-04-08 01:35:24  Reason: state updated due to high error rate Resilience Dashboard link: https://app.groundcover.com/grafana/d/ee6hp1vaeark0e/resilience-metrics  /listing-svc/v1/product/term-completion Timestamp: 2025-04-08 01:40:27  Reason: state updated due to high error rate Resilience Dashboard link: https://app.groundcover.com/grafana/d/ee6hp1vaeark0e/resilience-metrics  /listing-svc/v1/product/term-completion Timestamp: 2025-04-08 01:45:25  Reason: state updated due to high error rate Resilience Dashboard link: https://app.groundcover.com/grafana/d/ee6hp1vaeark0e/resilience-metrics  /listing-svc/v1/product/term-completion Timestamp: 2025-04-08 01:50:29  Reason: state updated due to high error rate Resilience Dashboard link: https://app.groundcover.com/grafana/d/ee6hp1vaeark0e/resilience-metrics  /listing-svc/v1/product/term-completion Timestamp: 2025-04-08 02:00:27  Reason: state updated due to high error rate Resilience Dashboard link: https://app.groundcover.com/grafana/d/ee6hp1vaeark0e/resilience-metrics  /listing-svc/v1/product/term-completion Timestamp: 2025-04-08 02:05:24  Reason: state updated due to high error rate Resilience Dashboard link: https://app.groundcover.com/grafana/d/ee6hp1vaeark0e/resilience-metrics  /listing-svc/v1/product/term-completion Timestamp: 2025-04-08 02:10:27  Reason: state updated due to high error rate Resilience Dashboard link: https://app.groundcover.com/grafana/d/ee6hp1vaeark0e/resilience-metrics  /listing-svc/v1/product/term-completion Timestamp: 2025-04-08 02:20:26  Reason: state updated due to high error rate Resilience Dashboard link: https://app.groundcover.com/grafana/d/ee6hp1vaeark0e/resilience-metrics  /listing-svc/v1/product/term-completion Timestamp: 2025-04-08 02:25:23  Reason: state updated due to high error rate Resilience Dashboard link: https://app.groundcover.com/grafana/d/ee6hp1vaeark0e/resilience-metrics  /listing-svc/v1/product/term-completion Timestamp: 2025-04-08 02:40:25  Reason: state updated due to high error rate Resilience Dashboard link: https://app.groundcover.com/grafana/d/ee6hp1vaeark0e/resilience-metrics  /listing-svc/v1/product/term-completion Timestamp: 2025-04-08 02:45:24  Reason: state updated due to high error rate Resilience Dashboard link: https://app.groundcover.com/grafana/d/ee6hp1vaeark0e/resilience-metrics  /listing-svc/v1/product/term-completion Timestamp: 2025-04-08 02:50:28  Reason: state updated due to high error rate Resilience Dashboard link: https://app.groundcover.com/grafana/d/ee6hp1vaeark0e/resilience-metrics  /listing-svc/v1/product/term-completion Timestamp: 2025-04-08 02:55:24  Reason: state updated due to high error rate Resilience Dashboard link: https://app.groundcover.com/grafana/d/ee6hp1vaeark0e/resilience-metrics  /listing-svc/v1/product/term-completion Timestamp: 2025-04-08 03:00:26  Reason: state updated due to high error rate Resilience Dashboard link: https://app.groundcover.com/grafana/d/ee6hp1vaeark0e/resilience-metrics  /listing-svc/v1/product/term-completion Timestamp: 2025-04-08 03:05:23  Reason: state updated due to high error rate Resilience Dashboard link: https://app.groundcover.com/grafana/d/ee6hp1vaeark0e/resilience-metrics  /listing-svc/v1/product/term-completion Timestamp: 2025-04-08 03:10:26  Reason: state updated due to high error rate Resilience Dashboard link: https://app.groundcover.com/grafana/d/ee6hp1vaeark0e/resilience-metrics  /listing-svc/v1/product/term-completion Timestamp: 2025-04-08 03:20:27  Reason: state updated due to high error rate Resilience Dashboard link: https://app.groundcover.com/grafana/d/ee6hp1vaeark0e/resilience-metrics  /listing-svc/v1/product/term-completion Timestamp: 2025-04-08 03:35:24  Reason: state updated due to high error rate Resilience Dashboard link: https://app.groundcover.com/grafana/d/ee6hp1vaeark0e/resilience-metrics  /listing-svc/v1/product/term-completion Timestamp: 2025-04-08 03:40:25  Reason: state updated due to high error rate Resilience Dashboard link: https://app.groundcover.com/grafana/d/ee6hp1vaeark0e/resilience-metrics  /listing-svc/v1/product/term-completion Timestamp: 2025-04-08 03:55:24  Reason: state updated due to high error rate Resilience Dashboard link: https://app.groundcover.com/grafana/d/ee6hp1vaeark0e/resilience-metrics  /listing-svc/v1/product/term-completion Timestamp: 2025-04-08 04:00:26  Reason: state updated due to high error rate Resilience Dashboard link: https://app.groundcover.com/grafana/d/ee6hp1vaeark0e/resilience-metrics  /listing-svc/v1/product/term-completion Timestamp: 2025-04-08 04:10:28  Reason: state updated due to high error rate Resilience Dashboard link: https://app.groundcover.com/grafana/d/ee6hp1vaeark0e/resilience-metrics  /listing-svc/v1/product/term-completion Timestamp: 2025-04-08 04:15:25  Reason: state updated due to high error rate Resilience Dashboard link: https://app.groundcover.com/grafana/d/ee6hp1vaeark0e/resilience-metrics  /listing-svc/v1/product/term-completion Timestamp: 2025-04-08 04:25:23  Reason: state updated due to high error rate Resilience Dashboard link: https://app.groundcover.com/grafana/d/ee6hp1vaeark0e/resilience-metrics  /listing-svc/v1/product/term-completion Timestamp: 2025-04-08 04:30:27  Reason: state updated due to high error rate Resilience Dashboard link: https://app.groundcover.com/grafana/d/ee6hp1vaeark0e/resilience-metrics  /listing-svc/v1/product/term-completion Timestamp: 2025-04-08 04:35:23  Reason: state updated due to high error rate Resilience Dashboard link: https://app.groundcover.com/grafana/d/ee6hp1vaeark0e/resilience-metrics  /listing-svc/v1/product/term-completion Timestamp: 2025-04-08 04:40:28  Reason: state updated due to high error rate Resilience Dashboard link: https://app.groundcover.com/grafana/d/ee6hp1vaeark0e/resilience-metrics  /listing-svc/v1/product/term-completion Timestamp: 2025-04-08 04:55:25  Reason: state updated due to high error rate Resilience Dashboard link: https://app.groundcover.com/grafana/d/ee6hp1vaeark0e/resilience-metrics  /listing-svc/v1/product/term-completion Timestamp: 2025-04-08 05:00:28  Reason: state updated due to high error rate Resilience Dashboard link: https://app.groundcover.com/grafana/d/ee6hp1vaeark0e/resilience-metrics  /listing-svc/v1/product/term-completion Timestamp: 2025-04-08 05:05:25  Reason: state updated due to high error rate Resilience Dashboard link: https://app.groundcover.com/grafana/d/ee6hp1vaeark0e/resilience-metrics  /listing-svc/v1/product/term-completion Timestamp: 2025-04-08 05:10:25  Reason: state updated due to high error rate Resilience Dashboard link: https://app.groundcover.com/grafana/d/ee6hp1vaeark0e/resilience-metrics  /listing-svc/v1/product/term-completion Timestamp: 2025-04-08 05:15:24  Reason: state updated due to high error rate Resilience Dashboard link: https://app.groundcover.com/grafana/d/ee6hp1vaeark0e/resilience-metrics  /listing-svc/v1/product/term-completion Timestamp: 2025-04-08 05:20:26  Reason: state updated due to high error rate Resilience Dashboard link: https://app.groundcover.com/grafana/d/ee6hp1vaeark0e/resilience-metrics  /listing-svc/v1/product/term-completion Timestamp: 2025-04-08 05:35:24  Reason: state updated due to high error rate Resilience Dashboard link: https://app.groundcover.com/grafana/d/ee6hp1vaeark0e/resilience-metrics,Bug
FE-20141,External product id is not getting populated in order_item table for 1mg items,Harshpal Singh Tomar,Harshpal Singh Tomar,Accepted,2025-04-04T18:11:58.444+0530,2025-04-09T14:12:43.693+0530,Django UnChainers,"External product id is not getting populated in order_item table for 1mg items, its present in PO map  PO id : 1019126072  Order id: 1614715977",Transient Bug
FE-20136,Not triggering event for any toast message in basket page,Girija N,Girija N,Accepted,2025-04-04T16:36:04.831+0530,2025-04-10T15:47:32.994+0530,Avengers,Not triggering event for any toast message in basket page(increment/decrement).,Transient Bug
FE-20135,Triggering same event (Basket_checkoutClicked) twice,Girija N,Girija N,Accepted,2025-04-04T16:34:46.658+0530,2025-04-09T10:45:09.416+0530,Avengers,"Triggering same event (Basket_checkoutClicked) twice.  !image (20).png|width=1366,height=768,alt=""""image (20).png""""!  !image (21).png|width=1366,height=768,alt=""""image (21).png""""!",Transient Bug
FE-20134,Referrer in page context is not firing in image verification  in IOS,Sachin Dhumale,Sachin Dhumale,Accepted,2025-04-04T16:29:24.252+0530,2025-04-04T16:39:42.233+0530,Titans,Referrer in page context is not firing in image verification  in IOS but firing in android.,Transient Bug
FE-20123,Getting 400 when hitting the update-external-status and order status update APIs with valid data ,Sudheendra EGR,Sudheendra EGR,Accepted,2025-04-04T12:49:33.379+0530,2025-04-10T22:18:51.249+0530,Mavericks,"Getting 400 when hitting the update-external-status and order status update APIs with valid data   !image-20250404-071917.png|width=1332,height=777,alt=""""image-20250404-071917.png""""!",Transient Bug
FE-20111,Call 738461 - Report option is not working for BB sambandh,Hemanth Kumar P,Atindra Sinha,System Config Change,2025-04-03T17:42:37.926+0530,2025-04-08T14:12:36.251+0530,Supernovas,"Call id: 738461   Remarks:  Fro the account [bbsambandh.pilot@gmail.com|mailto:bbsambandh.pilot@gmail.com] report options stoped working.  [https://admin.bigbasket.com/admin/bb_auth/externaluser/20001425/change/?_changelist_filters=q%3Dbbsambandh|https://admin.bigbasket.com/admin/bb_auth/externaluser/20001425/change/?_changelist_filters=q%3Dbbsambandh]    [https://admin.bigbasket.com/admin/marketeer/marketingcompany/1297/change/|https://admin.bigbasket.com/admin/marketeer/marketingcompany/1297/change/]    !image-20250403-120721.png|width=91.66666666666666%,alt=""""image-20250403-120721.png""""!  !image-20250403-120741.png|width=100%,alt=""""image-20250403-120741.png""""!    !image-20250403-120825.png|width=100%,alt=""""image-20250403-120825.png""""!",Bug
FE-20110,No error is thrown while passing one correct external_fc_id and one invalid external_fc_ids in the inbound APIs,Sudheendra EGR,Sudheendra EGR,Accepted,2025-04-03T17:18:04.021+0530,2025-04-10T22:16:34.253+0530,Mavericks,"No error is thrown while passing one correct external_fc_id and one invalid external_fc_ids in the inbound APIs  !image-20250403-114754.png|width=1332,height=777,alt=""""image-20250403-114754.png""""!",Transient Bug
FE-20108,Duplicate Order IDs in Charges Waiver Redemption Table,Sravan Nekkanti,Himanshu Kumar8,Deployed to Prod,2025-04-03T17:04:39.054+0530,2025-04-11T19:01:16.569+0530,Spartans,"!image-20250403-113426.png|width=396,height=177,alt=""""image-20250403-113426.png""""!",Bug
FE-20099,"Getting 500 in inbound assortment API external_fc_ids field, while passing empty or null values",Sudheendra EGR,Sudheendra EGR,Accepted,2025-04-03T14:36:00.081+0530,2025-04-04T12:50:53.445+0530,Mavericks,"Getting 500 in inbound assortment API external_fc_ids field, while passing empty or null values  X-Tracker: test-1mg-qa-9  !image-20250403-090528.png|width=1332,height=777,alt=""""image-20250403-090528.png""""!",Transient Bug
FE-20091,BBApp | KT from Sandhya,SARAVANAN S,SARAVANAN S,Invalid Issue,2025-04-03T11:49:30.731+0530,2025-04-04T14:03:42.138+0530,Titans,KT from sandhya,Bug
FE-20083,Integrated-sa is coming as false in QA for Jakkur location,Girija N,Girija N,Accepted,2025-04-02T18:04:58.919+0530,2025-04-03T12:09:07.225+0530,Morphous,Integrated-sa is coming as false in QA for Jakkur location.,Transient Bug
FE-20079,Custom timer is not working as expected,Arshia,Arshia,Accepted,2025-04-02T16:37:27.972+0530,2025-04-04T17:27:50.032+0530,Spartans,"Steps:  Change ipl timer to custom time  40 hrs/ 2 days  Actual result:Just shows Flash sale and  timer  is  not shown.  PFA   !Screenshot_2025-04-02-13-41-26-44_4ae33b47996b1b2491c544fc93cb3250-20250402-110708.jpg|width=540,height=1206,alt=""""Screenshot_2025-04-02-13-41-26-44_4ae33b47996b1b2491c544fc93cb3250-20250402-110708.jpg""""!",Transient Bug
FE-20077,Goat18 theme is not getting applied/ prioritised,Arshia,Arshia,Accepted,2025-04-02T16:31:31.718+0530,2025-04-21T12:25:34.978+0530,Spartans,Steps:  * Start goat18  theme * check in the app for same skus  Actual result:Showing flash sale for the sku Goat18 is not shown,Transient Bug
FE-20070,"Not getting any sponsored widget in Render api , even though the sponsored content is returning data.",Ankita,Ankita,Accepted,2025-04-02T16:11:44.050+0530,2025-04-07T12:19:21.481+0530,Spartans,"Not getting any sponsored widget in Render api , even though the sponsored content is returning data. data from sponsored content: curl --location -g --request GET '[https://bbt-ba.o-s.io/v2/bsda?client_id=10088008&cli_ubid=17314908&pt=catnav&au[]=v1_catnav_top_banner_1360x800&pcnt_au=10|https://bbt-ba.o-s.io/v2/bsda?client_id=10088008&cli_ubid=17314908&pt=catnav&au[]=v1_catnav_top_banner_1360x800&pcnt_au=10]' \  > --header 'bb-decoded-vid: 1223749' \  > --header 'x-timestamp: 2025-02-12 10:10:10' \  > --header 'x-auth-token: d7ea204eb88908a265eb25cc7c2a61d3' \  > --header 'x-retailer-id: 10088008'  {""""ads"""":{""""v1_catnav_top_banner_1360x800"""":[{""""client_id"""":10088008,""""au"""":""""v1_catnav_top_banner_1360x800"""",""""rank"""":1,""""click_tracking_url"""":""""[https://t.o-s.io/click?client_id=10088008&uclid=ea85039f0c168dc1652a2233b41904524f0c2f9b34d58fe33d7b07fbbba7883ab8816d6fe95cfca7695ba26482d327cfa6db5caa3b4b90e3b70dda3772473e397e9e94470d8dd427110d9d4ab0460a141ac09685e3c34c7d6cd3244bddad46eac33a6111a85d55896e4e97f5bb35d150ee94f21381c59cb39a0d203557cb688aa47abb44bfba49ea53519e008d223596aeb1d24998571a3e8beb73fa1154bacaaca094e8341dfe0e75e73108e6f052f176860d67b82e6f8da1f3750424edba63%40%7Ev1&redirect_url=null"""",""""elements"""":{""""image_url"""":""""https://osads.gumlet.io/onlinesales/image/upload/v1743580373/estwyijrlhcetyokznv1.png"""",""""product_list"""":[{""""sku_id"""":""""100006552"""",""""e_link"""":""""https://www.bigbasket.com/media/uploads/p/l/100006552_8-horlicks-health-drink-original.jpg"""",""""e_image_link"""":""""https://www.bigbasket.com/media/uploads/p/l/100006552_8-horlicks-health-drink-original.jpg"""",""""e_price"""":100,""""store_id"""":""""10|https://t.o-s.io/click?client_id=10088008&uclid=ea85039f0c168dc1652a2233b41904524f0c2f9b34d58fe33d7b07fbbba7883ab8816d6fe95cfca7695ba26482d327cfa6db5caa3b4b90e3b70dda3772473e397e9e94470d8dd427110d9d4ab0460a141ac09685e3c34c7d6cd3244bddad46eac33a6111a85d55896e4e97f5bb35d150ee94f21381c59cb39a0d203557cb688aa47abb44bfba49ea53519e008d223596aeb1d24998571a3e8beb73fa1154bacaaca094e8341dfe0e75e73108e6f052f176860d67b82e6f8da1f3750424edba63%40%7Ev1&redirect_url=null"""",""""elements"""":{""""image_url"""":""""https://osads.gumlet.io/onlinesales/image/upload/v1743580373/estwyijrlhcetyokznv1.png"""",""""product_list"""":[{""""sku_id"""":""""100006552"""",""""e_link"""":""""https://www.bigbasket.com/media/uploads/p/l/100006552_8-horlicks-health-drink-original.jpg"""",""""e_image_link"""":""""https://www.bigbasket.com/media/uploads/p/l/100006552_8-horlicks-health-drink-original.jpg"""",""""e_price"""":100,""""store_id"""":""""10]>>10002>>10013>>10014>>10015>>10016>>10017>>10019>>10020>>10021>>10022>>10023>>10024>>10029>>10030>>10034>>10052>>10054>>10068>>10071>>100",Transient Bug
FE-20065,Call 735213 - Same banenr refelecting twice,Hemanth Kumar P,Vikas Kumar,Feature Request,2025-04-02T15:44:01.395+0530,2025-04-10T13:56:20.609+0530,Spartans,"# MyMCS: 735213  # Issue Reported Date: 19th Nov # Issue Reported by: Content # Issue type: BUG # Location Impacted:Pan india # Issue severity:S3  Remarks:    # Duplicate Banner being visible in same page (Render).  camping id- 2725552 & 2717576       Reference ticket: BE-14826    735213   !image-20250402-095638.png|width=445,height=960,alt=""""image-20250402-095638.png""""!",Bug
FE-20056,Seeing catalog visibility error while running Nitro deployment,gunjan.agarwal,gunjan.agarwal,Accepted,2025-04-02T14:17:49.427+0530,2025-04-09T13:00:00.953+0530,Supernovas,"Seeing catalog visibility error while running Nitro deployment  {noformat}  """"msg"""": """"Api Error : Error During get catalog visiblity V2""""{noformat}  ENV - UAT  Tracker : {{4fcc0e51-6919-4bc3-a9ae-d22cc9dd5af6}}  Error : Api Error : Web Client error during post. Status 503 for URL /catalog_visibility/internal/v2/visibility with response Service Unavailable",Transient Bug
FE-20054,"Offer card showing """"Something went wrong"""" when timer ends",Arshia,Unnati Agrawal,Accepted,2025-04-02T13:08:17.689+0530,2025-04-21T12:03:20.480+0530,Spartans,"Steps:  * run timer and tap on offer card once the sale ends/timer  eds  Actual result:  !Screenshot_2025-04-02-12-38-48-03_4ae33b47996b1b2491c544fc93cb3250-20250402-073537.jpg|width=540,height=1206,alt=""""Screenshot_2025-04-02-12-38-48-03_4ae33b47996b1b2491c544fc93cb3250-20250402-073537.jpg""""!",Transient Bug
FE-20051,Voucher not reverted after payment failure,Karmanya Sharma,Sravan Nekkanti,Feature Request,2025-04-02T11:45:17.126+0530,2025-04-04T12:51:13.315+0530,Django UnChainers,"Voucher (code : {{IPHONE164000}}, id : 960) redemption was not reverted for member ({{5276135}}) after payment failure (po_id : {{1782169651}}).  x-tracker for redeem voucher request : 036938d3-26b5-4cc5-b56c-c6bb8760db75",Bug
